1               0.000078084     0.012           78.084
2               0.000072692     0.026           72.692
4               0.000068175     0.056           68.175
8               0.000068602     0.111           68.602
16              0.000072967     0.209           72.967
32              0.000074585     0.409           74.585
64              0.000060638     1.007           60.638
128             0.000078838     1.548           78.838
256             0.000076977     3.172           76.977
512             0.000084184     5.800           84.184
1024            0.000096829     10.085          96.829
2048            0.000148483     13.154          148.483
4096            0.000209895     18.611          209.895
8192            0.000242443     32.224          242.443
16384           0.000306503     50.978          306.503
32768           0.001026875     30.432          1026.875
65536           0.001419131     44.041          1419.131
131072          0.001947135     64.197          1947.135
262144          0.003609011     69.271          3609.011
524288          0.006489774     77.044          6489.774
1048576         0.012108770     82.585          12108.770
2097152         0.023455795     85.267          23455.795
4194304         0.047824187     83.640          47824.187
8388608         0.103054972     77.628          103054.972
16777216        0.202512943     79.007          202512.943
