1               0.000000256     3.722           0.256
2               0.000000252     7.560           0.252
4               0.000000250     15.285          0.250
8               0.000000252     30.218          0.252
16              0.000000250     60.954          0.250
32              0.000000281     108.757         0.281
64              0.000000295     206.628         0.295
128             0.000000516     236.361         0.516
256             0.000000629     388.195         0.629
512             0.000000574     851.277         0.574
1024            0.000000686     1422.891        0.686
2048            0.000000920     2122.953        0.920
4096            0.000001505     2595.427        1.505
8192            0.000002208     3537.802        2.208
16384           0.000005412     2886.858        5.412
32768           0.000007047     4434.507        7.047
65536           0.000011029     5666.675        11.029
131072          0.000018994     6581.070        18.994
262144          0.000044229     5652.406        44.229
524288          0.000083357     5998.319        83.357
1048576         0.000164209     6089.807        164.209
2097152         0.000332058     6023.047        332.058
4194304         0.001298379     3080.764        1298.379
8388608         0.002948376     2713.358        2948.376
16777216        0.005854262     2733.051        5854.262
